bia.di,bii.di,bit.di,che.de,che.di,elb.di,wri.di,kne.di,ank.di,sho.gi,che.gi,wai.gi,nav.gi,hip.gi,thi.gi,bic.gi,for.gi,kne.gi,cal.gi,ank.gi,wri.gi,age,wgt,hgt,sex
40.5,28.7,30.4,22.1,29.2,14.3,11.2,18.5,14.5,116.5,104.2,84.2,84.0,93.2,55.0,33.0,25.4,35.6,36.4,22.8,15.9,35,73.6,176.5,1
39.6,28.6,31.2,18.0,27.2,12.4,10.1,19.3,13.8,101.4,89.6,72.6,86.3,93.7,56.4,27.4,23.4,37.0,38.4,21.3,15.6,38,67.3,179.9,0
38.5,25.6,31.7,17.0,25.6,11.8,10.2,16.8,12.9,92.8,87.6,74.7,77.0,97.7,57.0,28.1,23.1,34.4,32.7,20.9,15.2,19,60.0,156.2,0
42.9,27.5,30.3,18.9,29.6,12.6,10.4,19.2,13.8,109.5,92.5,80.9,78.5,96.0,59.0,31.5,26.3,36.1,39.0,21.2,15.6,27,67.7,167.4,1
37.8,28.5,33.5,18.0,27.1,12.9,10.4,18.6,13.4,100.8,84.7,65.0,84.5,94.7,54.8,28.9,24.4,34.7,34.8,22.5,15.3,45,54.5,162.6,0
40.5,27.5,32.3,19.4,28.8,12.6,10.6,18.4,14.0,114.3,92.5,81.0,85.2,92.5,54.7,32.3,26.8,35.8,37.6,21.1,15.8,26,72.0,177.5,1
36.9,26.9,31.9,16.1,25.2,13.4,10.0,18.8,14.3,95.6,82.6,65.4,74.8,89.3,53.7,26.4,23.8,34.0,33.7,19.1,14.7,44,55.7,167.6,0
43.6,28.0,32.4,27.5,33.5,14.6,11.7,21.4,15.1,128.8,115.0,95.6,101.9,107.9,64.6,37.1,30.0,41.8,39.6,24.7,18.2,22,108.6,190.5,1
35.1,26.6,29.2,17.0,24.4,11.8,9.4,17.0,12.2,94.4,82.5,65.6,81.8,92.8,56.2,28.8,24.7,33.0,34.6,21.7,15.8,32,55.4,160.0,0
36.5,29.7,34.0,20.2,28.5,13.3,9.8,18.9,12.4,104.0,95.4,86.0,107.1,112.1,64.4,32.3,26.4,35.7,37.0,21.4,15.8,40,76.8,157.5,0
42.1,27.1,32.2,20.2,30.6,13.7,10.8,18.9,14.3,118.3,101.6,79.7,82.0,98.4,58.1,36.5,31.0,38.0,38.1,25.3,17.7,19,76.6,177.8,1
42.0,28.0,34.0,22.5,28.0,15.6,12.0,21.1,15.0,119.5,93.5,77.5,81.5,99.8,59.8,36.5,29.2,38.3,38.6,22.2,16.9,21,81.6,184.0,1
38.5,30.8,35.1,15.8,27.3,13.1,10.6,18.6,14.2,97.2,83.5,71.2,83.0,96.5,52.4,25.2,21.7,33.7,32.1,21.0,15.0,32,56.6,172.1,0
43.5,28.8,34.0,20.6,29.0,14.3,10.5,19.8,14.2,115.0,91.0,76.8,80.0,94.5,54.6,33.2,28.0,37.5,35.6,22.1,16.3,24,74.5,182.4,1
36.2,30.2,31.2,16.8,27.7,11.5,9.4,17.4,13.1,97.3,85.0,65.7,77.7,90.5,56.1,29.4,23.1,33.2,34.4,20.3,14.4,25,54.8,161.2,0
36.7,25.2,29.2,18.5,24.2,12.0,9.0,17.0,11.8,94.9,79.9,62.5,74.0,87.6,51.6,25.7,21.9,31.7,34.7,18.5,13.9,32,55.5,174.0,0
38.7,26.8,31.5,21.4,27.8,13.8,10.8,18.2,13.3,113.8,100.9,90.6,93.3,97.7,58.0,34.8,28.0,34.1,35.8,22.2,16.3,33,72.2,163.8,1
37.6,31.3,33.5,17.0,25.4,12.4,9.4,19.2,11.5,105.0,76.8,73.6,106.3,106.2,61.7,31.4,26.2,39.6,39.1,24.8,16.2,44,72.7,175.3,0
38.0,29.7,34.0,22.8,27.3,13.1,10.8,17.3,15.5,107.8,95.1,84.7,92.9,96.7,54.6,32.8,25.3,36.6,35.0,23.5,17.1,56,70.9,175.3,1
37.6,27.8,31.1,19.9,25.9,12.9,9.6,17.2,13.8,101.4,87.3,66.9,83.3,90.6,54.4,28.9,23.8,33.9,33.9,20.8,15.5,19,54.5,162.6,0
37.5,29.2,35.1,19.6,27.5,13.1,10.2,20.0,13.1,101.5,91.0,75.0,85.0,103.0,62.0,31.5,26.5,38.2,40.0,23.0,16.0,22,72.8,170.2,0
35.6,27.9,32.0,15.6,23.9,11.9,9.6,18.2,12.7,98.1,80.2,63.1,78.9,93.9,57.1,26.4,23.1,35.0,35.0,20.1,14.9,20,55.0,162.0,0
44.2,30.3,34.7,19.4,30.0,14.9,11.0,19.1,15.8,113.0,93.6,77.5,82.1,95.0,56.5,32.8,26.2,37.6,36.3,21.0,16.6,23,74.8,183.5,1
38.0,30.4,32.9,17.0,27.1,12.9,10.4,19.5,14.4,108.4,91.8,69.9,90.4,101.0,60.6,30.3,25.4,37.7,37.9,22.4,15.4,29,71.8,176.5,0
36.7,29.0,32.0,19.7,25.6,12.4,10.0,18.6,13.0,100.5,86.1,68.3,85.3,96.5,55.1,26.0,22.6,33.9,33.7,21.8,15.0,23,60.0,177.8,0
34.7,29.4,31.5,17.7,24.9,13.4,9.6,18.4,13.4,99.0,84.4,63.6,84.9,92.7,54.4,26.7,23.7,33.5,33.6,20.2,14.6,39,55.0,170.2,0
44.1,29.2,35.3,23.6,30.9,15.8,12.5,20.2,15.2,119.5,106.0,86.0,92.0,103.0,60.6,34.0,29.8,38.8,39.5,23.6,18.0,24,90.9,197.1,1
39.2,29.9,34.9,18.5,26.4,14.3,10.8,19.6,14.4,108.2,90.7,75.3,96.3,103.6,59.9,31.5,25.4,35.7,35.8,21.1,16.3,67,67.7,170.2,0
41.1,26.8,32.4,20.2,31.1,14.4,11.8,20.4,15.2,120.0,101.0,82.0,82.0,98.0,59.0,35.4,29.0,38.0,42.0,23.6,17.5,34,75.5,167.6,1
34.7,29.4,33.5,17.7,25.4,12.4,10.8,20.2,12.8,100.2,94.1,79.6,103.5,104.3,66.5,36.9,29.0,40.3,37.9,24.6,16.4,34,75.5,160.0,0
42.3,26.8,32.0,25.4,28.7,15.0,11.2,18.4,14.4,122.3,104.3,88.4,89.6,98.8,54.8,35.5,29.7,37.7,37.0,23.7,18.3,26,79.5,182.9,1
36.9,26.4,32.4,16.6,26.0,12.6,10.5,18.9,14.4,100.1,85.6,62.7,74.0,96.0,61.5,28.0,23.6,35.4,38.5,21.3,15.4,22,59.3,152.0,0
35.1,23.4,30.6,16.2,26.8,12.1,9.4,16.1,12.2,98.2,82.0,64.1,74.1,96.0,53.7,26.6,23.2,35.2,35.0,21.0,14.8,23,53.8,164.0,0
35.0,25.0,27.2,15.4,23.4,10.8,8.7,16.8,12.2,98.5,80.8,67.5,75.4,85.8,53.8,24.8,21.5,33.0,33.0,20.0,14.0,26,47.6,159.5,0
37.4,29.4,31.7,16.5,25.9,12.2,10.8,19.4,14.3,95.1,80.5,67.4,77.7,95.1,56.3,27.0,24.3,36.2,36.7,23.7,15.9,29,63.0,168.9,0
39.4,29.7,33.1,22.3,31.5,15.6,12.0,19.5,14.8,119.0,102.5,86.5,89.0,97.0,57.0,34.0,28.4,38.0,37.0,22.5,17.4,30,80.9,182.9,1
40.1,28.2,33.3,20.9,31.7,13.9,10.9,19.7,14.1,115.1,97.5,83.2,82.9,95.0,57.3,33.4,28.8,37.0,37.3,21.9,16.9,28,80.7,193.5,1
36.5,27.0,31.6,16.6,24.4,11.9,9.7,18.0,12.5,94.9,78.8,61.4,78.8,94.0,56.4,27.1,22.8,35.4,34.8,21.0,15.0,23,55.9,170.0,0
39.8,28.3,30.4,19.7,30.2,12.9,11.0,18.6,12.7,121.0,103.0,92.5,88.5,94.0,55.0,36.0,28.0,36.5,37.0,21.8,17.5,35,72.3,160.0,1
38.7,24.6,28.5,18.3,29.8,14.0,11.2,18.9,13.6,110.8,92.5,73.5,76.4,92.0,53.1,30.6,27.1,36.0,36.0,23.8,17.5,27,66.0,181.1,1
37.6,25.2,29.0,19.2,27.1,14.0,11.0,18.9,13.2,105.0,89.0,71.2,86.1,93.5,56.1,30.2,24.4,37.0,37.5,22.6,15.7,22,67.3,169.5,0
38.9,27.5,31.1,15.6,26.8,12.4,10.0,18.4,13.6,97.4,85.2,69.0,76.3,86.7,51.5,26.6,22.7,31.6,33.3,19.6,15.3,37,52.7,156.0,0
40.7,27.8,34.0,21.1,29.4,15.6,12.0,21.2,16.4,111.7,101.2,88.8,90.8,101.3,62.5,35.2,28.9,40.6,39.2,23.0,17.5,40,85.5,180.3,1
43.5,33.2,34.0,23.9,34.3,15.8,12.0,18.6,13.2,127.0,108.8,107.1,107.2,108.3,67.0,39.6,30.6,40.0,39.6,24.6,17.7,33,101.6,192.0,1
41.5,30.0,33.4,19.1,29.4,14.8,11.0,19.8,13.8,112.0,87.8,73.5,77.5,94.9,53.5,34.3,28.5,36.5,35.2,22.0,17.0,27,70.2,175.0,1
33.6,24.3,27.9,18.2,24.7,11.0,8.4,16.6,11.1,103.1,82.9,67.6,73.9,90.2,56.4,30.2,24.2,34.1,33.8,20.6,14.8,22,53.2,159.8,0
41.6,32.0,35.3,23.6,27.0,15.5,11.3,20.9,15.0,110.5,91.2,82.0,89.5,100.0,57.5,32.8,28.0,40.7,40.1,24.3,17.2,23,84.1,189.2,1
44.0,28.4,32.0,22.5,29.7,14.9,10.9,21.0,14.8,122.0,105.2,90.2,88.6,100.2,60.8,35.7,29.4,39.2,39.1,24.5,17.9,41,79.1,171.2,1
37.6,28.3,29.4,16.8,25.4,13.2,10.0,17.8,14.2,99.7,84.2,62.4,81.4,90.4,53.2,25.8,23.0,34.5,31.0,19.2,14.7,32,57.7,175.2,0
42.9,26.0,31.5,17.7,28.0,13.1,10.4,18.8,14.1,106.2,89.5,71.5,74.5,93.5,51.5,32.5,26.0,34.5,36.5,23.5,16.5,21,65.6,174.0,1
43.7,29.0,31.3,20.5,29.7,15.0,11.7,20.9,16.0,123.5,99.5,82.6,82.5,95.0,58.5,38.5,30.4,39.0,38.4,24.3,18.2,22,83.6,177.8,1
34.8,26.3,29.9,16.0,22.9,11.3,9.2,16.5,11.8,87.0,75.5,65.0,76.7,86.0,51.0,24.5,20.5,31.5,31.0,20.0,14.0,21,45.8,152.0,0
42.3,26.4,31.2,18.0,30.9,14.6,10.8,18.6,13.8,117.7,99.0,74.5,75.9,92.2,53.4,31.2,26.9,36.2,33.3,23.5,16.0,22,66.2,172.7,1
42.0,28.0,33.0,18.1,28.4,14.3,11.1,20.2,15.2,114.0,88.5,77.0,79.0,93.0,51.7,33.5,27.9,38.4,38.5,22.5,17.5,22,73.2,177.3,1
38.0,29.6,32.7,21.3,28.7,13.7,10.6,21.5,14.4,111.4,94.5,82.2,94.2,110.2,69.0,32.5,26.8,40.5,38.6,23.0,16.6,26,82.5,175.0,0
35.8,29.4,32.0,18.0,25.9,11.8,9.8,18.0,12.7,98.6,86.5,66.6,87.5,96.7,59.3,27.3,24.0,36.0,34.9,21.4,14.6,20,60.0,160.0,0
37.8,29.0,32.4,20.6,28.5,12.7,9.1,18.2,13.2,110.3,95.3,79.4,90.9,102.7,63.0,29.9,24.9,38.7,36.3,21.3,15.5,28,72.3,167.6,0
33.3,24.9,27.8,17.3,23.3,12.8,9.8,17.4,12.9,92.8,84.1,63.2,75.0,86.9,52.1,26.5,23.5,32.3,31.6,18.9,15.0,19,50.2,160.0,0
37.7,29.7,32.7,20.2,28.8,13.3,11.1,18.3,13.2,113.8,96.7,82.0,82.2,92.7,54.6,32.0,27.1,35.6,36.4,20.7,16.2,31,70.9,175.5,1
43.0,27.8,34.2,21.4,31.5,14.3,11.1,21.0,14.8,123.1,104.3,86.3,87.8,103.3,59.7,36.4,30.4,39.3,42.0,27.7,18.4,35,83.2,180.3,1
41.3,27.1,32.4,17.5,27.6,14.1,10.8,20.2,15.5,110.2,93.6,72.7,77.3,91.7,51.9,32.1,27.4,33.5,33.8,21.1,16.9,23,66.1,171.8,1
38.3,25.2,30.2,17.0,26.4,13.2,10.4,18.8,13.0,101.2,86.1,69.9,67.4,84.1,50.8,31.5,26.6,32.8,36.3,20.0,15.8,20,57.0,163.0,1
38.9,27.1,31.7,21.6,29.7,15.0,12.2,20.5,15.2,119.0,104.2,97.8,93.6,102.5,58.0,35.8,29.4,39.0,38.1,23.0,17.0,43,87.3,188.0,1
43.1,28.6,33.4,22.2,29.5,14.9,12.2,20.8,14.8,109.0,98.5,78.5,86.0,94.5,55.0,34.5,28.5,38.0,36.5,23.0,18.5,29,72.4,173.0,1
37.8,29.9,31.1,17.3,25.8,10.9,9.4,15.7,11.5,97.7,83.7,68.6,83.0,94.2,58.0,26.2,22.1,32.2,35.9,19.9,14.6,32,58.4,173.2,0
40.5,29.9,34.9,21.4,32.9,14.5,11.7,20.4,15.0,123.6,107.0,97.0,95.5,104.5,56.6,34.4,28.9,40.0,38.5,24.0,17.0,37,88.6,180.3,1
38.3,28.3,32.4,18.7,28.3,13.9,10.6,18.9,14.0,109.1,92.4,71.1,91.5,98.2,55.3,29.6,24.6,34.3,36.6,20.7,15.6,40,63.2,162.6,0
43.0,26.5,31.6,20.6,29.5,13.4,10.4,18.8,13.6,113.2,94.7,77.5,80.5,92.0,54.2,30.9,26.6,36.5,35.8,21.3,16.5,25,72.7,180.6,1
42.1,27.5,32.4,18.2,28.0,16.2,12.0,21.0,16.4,118.3,101.1,77.5,78.0,97.0,55.0,37.7,29.9,38.3,39.6,23.3,18.7,24,80.1,184.2,1
37.1,29.2,32.0,18.0,26.1,13.2,10.2,19.2,14.4,102.6,88.7,72.2,87.8,96.1,61.1,29.5,24.6,39.1,38.7,26.0,15.5,21,70.5,172.7,0
39.4,26.1,34.4,20.4,27.3,15.1,10.6,20.0,15.3,109.2,95.8,84.7,84.0,101.4,60.0,35.0,28.5,38.4,37.9,23.2,16.8,23,84.1,188.0,1
38.5,30.4,35.1,18.2,27.3,13.8,10.7,19.0,14.4,106.6,88.2,67.9,86.9,100.8,60.2,31.0,26.6,36.6,38.5,22.2,16.0,21,66.8,175.2,0
37.6,26.8,31.1,16.5,24.0,11.8,10.2,18.4,12.8,98.6,81.4,66.4,78.5,91.6,54.6,24.2,21.2,33.0,34.3,20.2,15.0,24,54.5,170.2,0
37.9,29.0,32.9,18.6,27.0,12.7,10.6,18.2,12.1,109.5,91.5,76.0,82.5,103.5,64.8,29.5,25.2,39.2,37.0,21.8,15.8,22,72.0,163.0,0
34.1,28.1,30.1,21.8,25.8,12.9,9.9,18.6,12.3,105.4,88.2,72.0,72.0,85.5,50.2,28.6,24.8,34.9,35.1,20.1,15.4,23,56.8,170.5,1
34.9,28.0,33.1,18.0,26.1,12.6,9.6,18.8,12.2,101.5,86.0,70.6,91.9,101.9,62.0,29.1,24.2,37.2,33.1,19.9,15.0,44,64.1,165.1,0
40.1,19.4,28.0,17.1,26.8,13.0,10.6,16.9,12.6,104.5,90.2,68.0,67.0,81.5,49.5,27.0,23.6,34.0,34.5,20.9,16.0,20,55.5,168.9,1
43.4,27.3,34.7,19.9,31.3,14.0,11.2,20.2,14.3,121.0,102.5,81.0,84.5,105.0,56.0,31.5,26.5,38.5,36.9,21.3,16.6,29,83.6,185.4,1
36.4,27.7,29.8,17.0,25.0,11.2,9.0,16.9,12.2,94.0,80.3,65.0,73.3,84.9,50.8,25.0,22.2,31.6,31.6,18.8,14.2,23,46.4,158.2,0
34.4,29.7,31.7,17.5,24.7,12.6,10.2,17.7,12.4,93.0,86.0,72.3,91.7,97.8,59.1,31.0,26.3,39.9,39.7,21.6,15.4,56,63.6,162.6,0
41.2,26.6,30.6,19.5,28.0,13.1,10.4,19.0,13.8,111.2,91.9,76.2,78.1,90.0,52.0,30.7,25.8,34.8,32.6,21.0,16.1,36,63.2,175.5,1
37.8,28.0,32.0,16.8,28.3,12.7,9.8,18.1,13.2,105.6,91.0,75.5,90.7,98.6,62.7,31.5,24.8,37.2,35.4,20.3,14.6,24,69.5,172.7,0
37.8,29.0,32.6,18.6,25.0,12.1,9.8,17.8,12.7,98.6,85.0,73.5,92.0,104.1,65.3,29.0,23.4,35.3,37.4,21.6,15.2,28,66.8,176.2,0
36.0,27.1,31.4,18.5,24.6,11.9,9.4,15.9,11.9,97.1,78.1,64.0,75.9,95.0,55.9,25.2,23.0,32.3,34.8,20.3,13.4,22,51.8,159.2,0
36.9,28.3,32.0,17.0,25.6,10.9,9.4,17.3,12.6,94.6,83.3,65.0,68.2,91.6,55.3,27.7,23.2,33.0,31.5,18.9,14.1,26,54.7,162.0,0
40.1,26.4,32.0,21.8,30.2,15.8,12.4,20.7,15.8,121.7,109.1,78.9,91.0,98.1,55.7,38.5,30.1,37.2,36.8,23.4,19.6,33,85.9,188.0,1
35.8,29.0,30.6,18.0,24.2,12.4,10.5,17.9,13.4,96.1,79.9,61.7,79.7,94.7,56.5,25.5,23.2,36.7,36.2,22.0,14.8,21,59.1,170.2,0
35.1,28.1,30.0,17.1,25.2,12.0,9.6,19.0,14.2,90.5,79.0,63.0,79.2,86.6,48.5,26.4,22.5,32.2,30.3,20.2,15.0,48,45.9,155.0,0
43.8,29.5,31.2,18.2,29.5,13.1,10.3,19.1,13.2,112.8,86.5,74.0,76.5,91.3,53.5,30.5,26.1,36.6,38.6,21.2,16.0,22,68.9,177.0,1
39.4,29.7,33.1,23.0,30.4,14.2,11.6,20.4,15.0,119.4,108.4,97.4,103.7,105.3,55.6,36.6,28.4,38.2,36.6,22.9,18.1,45,84.5,167.6,1
42.5,31.3,33.1,19.4,32.0,14.8,11.3,20.1,15.5,117.5,103.0,92.1,91.3,103.8,56.6,33.3,27.7,37.1,37.4,22.6,17.1,37,85.9,188.0,1
36.9,27.5,31.1,16.3,26.6,12.8,9.8,18.0,14.0,100.1,81.1,65.5,82.3,90.4,53.3,26.8,22.3,34.2,33.4,21.5,14.5,37,55.0,166.4,0
39.8,25.6,31.3,23.5,32.0,14.0,11.2,21.2,16.4,113.2,100.5,92.4,92.4,97.0,50.9,32.9,29.0,37.7,37.7,23.4,17.0,43,77.7,177.8,1
37.2,24.4,29.4,18.1,27.3,12.3,9.9,17.1,12.2,107.1,89.8,71.2,85.7,97.5,58.2,28.2,25.2,34.2,34.0,20.4,15.4,24,59.4,162.9,0
32.8,26.2,26.3,16.1,23.6,10.6,9.2,16.4,11.7,85.9,74.5,61.0,65.3,84.5,51.5,22.4,19.6,30.4,28.4,17.4,13.2,21,45.0,160.0,0
41.3,29.0,32.2,25.2,30.8,14.4,11.0,19.7,15.8,115.3,105.7,96.5,98.2,97.4,54.3,31.9,28.5,37.7,39.3,24.5,17.1,43,86.4,179.7,1
38.8,26.5,29.8,17.4,28.2,12.0,9.4,17.7,12.6,105.1,86.0,66.1,73.2,91.8,54.4,27.4,23.8,35.0,33.0,20.2,14.9,20,56.4,163.2,0
35.8,31.5,32.6,17.5,25.2,12.9,9.8,17.9,13.4,99.3,86.2,67.0,85.3,96.7,56.2,27.0,22.3,37.0,33.0,21.6,15.0,25,63.6,175.3,0
37.6,31.3,35.3,20.2,27.3,11.3,9.4,18.9,13.8,103.5,86.1,72.0,91.9,103.9,57.5,27.4,22.4,36.3,37.9,23.4,14.5,32,62.7,165.1,0
37.1,27.1,32.6,17.3,26.6,13.2,10.3,19.0,14.4,104.1,89.3,75.5,98.9,100.2,57.8,30.3,23.8,37.3,37.0,22.5,15.1,32,65.9,167.6,0
